age_equ,score,for,type
<5.0,12,parent,hs
<5.0,13,parent,hs
<5.0,14,parent,hs
<5.0,15,parent,hs
<5.0,16,parent,hs
<5.0,17,parent,hs
<5.0,18,parent,hs
<5.0,19,parent,hs
<5.0,20,parent,hs
<5.0,21,parent,hs
<5.0,22,parent,hs
<5.0,23,parent,hs
<5.0,24,parent,hs
<5.0,25,parent,hs
<5.0,26,parent,hs
<5.0,27,parent,hs
<5.0,28,parent,hs
<5.0,29,parent,hs
<5.0,30,parent,hs
5.0-5.3,31,parent,hs
5.0-5.3,32,parent,hs
5.0-5.3,33,parent,hs
5.4-5.7,34,parent,hs
5.4-5.7,35,parent,hs
5.8-5.11,36,parent,hs
5.8-5.11,37,parent,hs
6.0-6.3,38,parent,hs
6.0-6.3,39,parent,hs
6.4-6.7,40,parent,hs
6.8-6.11,41,parent,hs
7.0-7.3,42,parent,hs
7.4-7.7,43,parent,hs
7.8-7.11,44,parent,hs
8.0-8.3,45,parent,hs
8.4-8.7,46,parent,hs
8.8-8.11,47,parent,hs
9.0-9.3,48,parent,hs
9.4-9.7,49,parent,hs
10.0-10.3,50,parent,hs
11.0-11.3,51,parent,hs
11.8-11.11,52,parent,hs
12.8-12.11,53,parent,hs
13.0-13.11,54,parent,hs
15.0-15.11,55,parent,hs
16.0-16.11,56,parent,hs
17.0-17.11,57,parent,hs
>21.11,58,parent,hs
>21.11,59,parent,hs
>21.11,60,parent,hs
1.0-1.1,0,parent_caregiver,cu
1.0-1.1,1,parent_caregiver,cu
1.0-1.1,2,parent_caregiver,cu
1.0-1.1,3,parent_caregiver,cu
1.0-1.1,4,parent_caregiver,cu
1.0-1.1,5,parent_caregiver,cu
1.2-1.3,6,parent_caregiver,cu
1.2-1.3,7,parent_caregiver,cu
1.4-1.5,8,parent_caregiver,cu
1.4-1.5,9,parent_caregiver,cu
1.4-1.5,10,parent_caregiver,cu
1.6-1.7,11,parent_caregiver,cu
1.6-1.7,12,parent_caregiver,cu
1.6-1.7,13,parent_caregiver,cu
1.8-1.9,14,parent_caregiver,cu
1.8-1.9,15,parent_caregiver,cu
1.8-1.9,16,parent_caregiver,cu
1.8-1.9,17,parent_caregiver,cu
1.10-1.11,18,parent_caregiver,cu
1.10-1.11,19,parent_caregiver,cu
1.10-1.11,20,parent_caregiver,cu
2.0-2.2,21,parent_caregiver,cu
2.0-2.2,22,parent_caregiver,cu
2.0-2.2,23,parent_caregiver,cu
2.0-2.2,24,parent_caregiver,cu
2.3-2.5,25,parent_caregiver,cu
2.3-2.5,26,parent_caregiver,cu
2.3-2.5,27,parent_caregiver,cu
2.3-2.5,28,parent_caregiver,cu
2.6-2.8,29,parent_caregiver,cu
2.6-2.8,30,parent_caregiver,cu
2.6-2.8,31,parent_caregiver,cu
2.6-2.8,32,parent_caregiver,cu
2.9-2.11,33,parent_caregiver,cu
2.9-2.11,34,parent_caregiver,cu
2.9-2.11,35,parent_caregiver,cu
3.0-3.2,36,parent_caregiver,cu
3.0-3.2,37,parent_caregiver,cu
3.0-3.2,38,parent_caregiver,cu
3.0-3.2,39,parent_caregiver,cu
3.3-3.5,40,parent_caregiver,cu
3.3-3.5,41,parent_caregiver,cu
3.3-3.5,42,parent_caregiver,cu
3.6-3.8,43,parent_caregiver,cu
3.6-3.8,44,parent_caregiver,cu
3.6-3.8,45,parent_caregiver,cu
3.9-3.11,46,parent_caregiver,cu
3.9-3.11,47,parent_caregiver,cu
3.9-3.11,48,parent_caregiver,cu
4.0-4.2,49,parent_caregiver,cu
4.0-4.2,50,parent_caregiver,cu
4.3-4.5,51,parent_caregiver,cu
4.3-4.5,52,parent_caregiver,cu
4.6-4.8,53,parent_caregiver,cu
4.9-4.11,54,parent_caregiver,cu
5.0-5.2,55,parent_caregiver,cu
5.3-5.5,56,parent_caregiver,cu
5.6-5.8,57,parent_caregiver,cu
>5.11,58,parent_caregiver,cu
>5.11,59,parent_caregiver,cu
>5.11,60,parent_caregiver,cu
>5.11,61,parent_caregiver,cu
>5.11,62,parent_caregiver,cu
>5.11,63,parent_caregiver,cu
>5.11,64,parent_caregiver,cu
>5.11,65,parent_caregiver,cu
>5.11,66,parent_caregiver,cu
1.0-1.1,0,parent_caregiver,fa
1.0-1.1,1,parent_caregiver,fa
1.0-1.1,2,parent_caregiver,fa
1.0-1.1,3,parent_caregiver,fa
1.0-1.1,4,parent_caregiver,fa
1.2-1.3,5,parent_caregiver,fa
1.4-1.5,6,parent_caregiver,fa
1.6-1.7,7,parent_caregiver,fa
1.6-1.7,8,parent_caregiver,fa
1.6-1.7,9,parent_caregiver,fa
1.8-1.9,10,parent_caregiver,fa
1.8-1.9,11,parent_caregiver,fa
1.8-1.9,12,parent_caregiver,fa
1.10-1.11,13,parent_caregiver,fa
1.10-1.11,14,parent_caregiver,fa
1.10-1.11,15,parent_caregiver,fa
2.0-2.2,16,parent_caregiver,fa
2.0-2.2,17,parent_caregiver,fa
2.0-2.2,18,parent_caregiver,fa
2.0-2.2,19,parent_caregiver,fa
2.3-2.5,20,parent_caregiver,fa
2.3-2.5,21,parent_caregiver,fa
2.3-2.5,22,parent_caregiver,fa
2.3-2.5,23,parent_caregiver,fa
2.3-2.5,24,parent_caregiver,fa
2.6-2.8,25,parent_caregiver,fa
2.6-2.8,26,parent_caregiver,fa
2.6-2.8,27,parent_caregiver,fa
2.6-2.8,28,parent_caregiver,fa
2.9-2.11,29,parent_caregiver,fa
2.9-2.11,30,parent_caregiver,fa
2.9-2.11,31,parent_caregiver,fa
2.9-2.11,32,parent_caregiver,fa
2.9-2.11,33,parent_caregiver,fa
3.0-3.2,34,parent_caregiver,fa
3.0-3.2,35,parent_caregiver,fa
3.0-3.2,36,parent_caregiver,fa
3.0-3.2,37,parent_caregiver,fa
3.0-3.2,38,parent_caregiver,fa
3.3-3.5,39,parent_caregiver,fa
3.3-3.5,40,parent_caregiver,fa
3.3-3.5,41,parent_caregiver,fa
3.3-3.5,42,parent_caregiver,fa
3.3-3.5,43,parent_caregiver,fa
3.6-3.8,44,parent_caregiver,fa
3.6-3.8,45,parent_caregiver,fa
3.6-3.8,46,parent_caregiver,fa
3.6-3.8,47,parent_caregiver,fa
3.6-3.8,48,parent_caregiver,fa
3.9-3.11,49,parent_caregiver,fa
3.9-3.11,50,parent_caregiver,fa
3.9-3.11,51,parent_caregiver,fa
3.9-3.11,52,parent_caregiver,fa
4.0-4.2,53,parent_caregiver,fa
4.0-4.2,54,parent_caregiver,fa
4.0-4.2,55,parent_caregiver,fa
4.0-4.2,56,parent_caregiver,fa
4.3-4.5,57,parent_caregiver,fa
4.3-4.5,58,parent_caregiver,fa
4.3-4.5,59,parent_caregiver,fa
4.6-4.8,60,parent_caregiver,fa
4.6-4.8,61,parent_caregiver,fa
4.6-4.8,62,parent_caregiver,fa
4.9-4.11,63,parent_caregiver,fa
4.9-4.11,64,parent_caregiver,fa
5.0-5.2,65,parent_caregiver,fa
5.0-5.2,66,parent_caregiver,fa
5.3-5.5,67,parent_caregiver,fa
5.6-5.8,68,parent_caregiver,fa
5.9-5.11,69,parent_caregiver,fa
>5.11,70,parent_caregiver,fa
>5.11,71,parent_caregiver,fa
>5.11,72,parent_caregiver,fa
1.0-1.1,0,parent_caregiver,hl
1.0-1.1,1,parent_caregiver,hl
1.0-1.1,2,parent_caregiver,hl
1.0-1.1,3,parent_caregiver,hl
1.0-1.1,4,parent_caregiver,hl
1.0-1.1,5,parent_caregiver,hl
1.0-1.1,6,parent_caregiver,hl
1.0-1.1,7,parent_caregiver,hl
1.0-1.1,8,parent_caregiver,hl
1.0-1.1,9,parent_caregiver,hl
1.0-1.1,10,parent_caregiver,hl
1.2-1.3,11,parent_caregiver,hl
1.2-1.3,12,parent_caregiver,hl
1.2-1.3,13,parent_caregiver,hl
1.2-1.3,14,parent_caregiver,hl
1.2-1.3,15,parent_caregiver,hl
1.2-1.3,16,parent_caregiver,hl
1.4-1.5,17,parent_caregiver,hl
1.4-1.5,18,parent_caregiver,hl
1.4-1.5,19,parent_caregiver,hl
1.4-1.5,20,parent_caregiver,hl
1.4-1.5,21,parent_caregiver,hl
1.4-1.5,22,parent_caregiver,hl
1.6-1.7,23,parent_caregiver,hl
1.6-1.7,24,parent_caregiver,hl
1.6-1.7,25,parent_caregiver,hl
1.6-1.7,26,parent_caregiver,hl
1.6-1.7,27,parent_caregiver,hl
1.6-1.7,28,parent_caregiver,hl
1.8-1.9,29,parent_caregiver,hl
1.8-1.9,30,parent_caregiver,hl
1.8-1.9,31,parent_caregiver,hl
1.8-1.9,32,parent_caregiver,hl
1.8-1.9,33,parent_caregiver,hl
1.10-1.11,34,parent_caregiver,hl
1.10-1.11,35,parent_caregiver,hl
1.10-1.11,36,parent_caregiver,hl
1.10-1.11,37,parent_caregiver,hl
1.10-1.11,38,parent_caregiver,hl
2.0-2.2,39,parent_caregiver,hl
2.0-2.2,40,parent_caregiver,hl
2.0-2.2,41,parent_caregiver,hl
2.0-2.2,42,parent_caregiver,hl
2.3-2.5,43,parent_caregiver,hl
2.3-2.5,44,parent_caregiver,hl
2.3-2.5,45,parent_caregiver,hl
2.6-2.8,46,parent_caregiver,hl
2.6-2.8,47,parent_caregiver,hl
2.6-2.8,48,parent_caregiver,hl
2.9-2.11,49,parent_caregiver,hl
2.9-2.11,50,parent_caregiver,hl
2.9-2.11,51,parent_caregiver,hl
3.0-3.2,52,parent_caregiver,hl
3.0-3.2,53,parent_caregiver,hl
3.0-3.2,54,parent_caregiver,hl
3.3-3.5,55,parent_caregiver,hl
3.3-3.5,56,parent_caregiver,hl
3.6-3.8,57,parent_caregiver,hl
3.9-3.11,58,parent_caregiver,hl
4.0-4.2,59,parent_caregiver,hl
4.3-4.5,60,parent_caregiver,hl
4.6-4.8,61,parent_caregiver,hl
4.9-4.11,62,parent_caregiver,hl
5.0-5.2,63,parent_caregiver,hl
5.3-5.5,64,parent_caregiver,hl
5.6-5.8,65,parent_caregiver,hl
>5.11,66,parent_caregiver,hl
>5.11,67,parent_caregiver,hl
>5.11,68,parent_caregiver,hl
>5.11,69,parent_caregiver,hl
>5.11,70,parent_caregiver,hl
>5.11,71,parent_caregiver,hl
>5.11,72,parent_caregiver,hl
>5.11,73,parent_caregiver,hl
>5.11,74,parent_caregiver,hl
>5.11,75,parent_caregiver,hl
0,0,parent_caregiver,hs
0,1,parent_caregiver,hs
0,2,parent_caregiver,hs
0,3,parent_caregiver,hs
0,4,parent_caregiver,hs
0.3,5,parent_caregiver,hs
0.5,6,parent_caregiver,hs
0.6,7,parent_caregiver,hs
0.7,8,parent_caregiver,hs
0.8,9,parent_caregiver,hs
0.8,10,parent_caregiver,hs
0.9,11,parent_caregiver,hs
0.9,12,parent_caregiver,hs
0.1,13,parent_caregiver,hs
0.1,14,parent_caregiver,hs
0.11,15,parent_caregiver,hs
0.11,16,parent_caregiver,hs
1.0-1.1,17,parent_caregiver,hs
1.0-1.1,18,parent_caregiver,hs
1.0-1.1,19,parent_caregiver,hs
1.2-1.3,20,parent_caregiver,hs
1.2-1.3,21,parent_caregiver,hs
1.4-1.5,22,parent_caregiver,hs
1.4-1.5,23,parent_caregiver,hs
1.4-1.5,24,parent_caregiver,hs
1.6-1.7,25,parent_caregiver,hs
1.6-1.7,26,parent_caregiver,hs
1.6-1.7,27,parent_caregiver,hs
1.8-1.9,28,parent_caregiver,hs
1.8-1.9,29,parent_caregiver,hs
1.8-1.9,30,parent_caregiver,hs
1.10-1.11,31,parent_caregiver,hs
1.10-1.11,32,parent_caregiver,hs
2.0-2.2,33,parent_caregiver,hs
2.0-2.2,34,parent_caregiver,hs
2.0-2.2,35,parent_caregiver,hs
2.3-2.5,36,parent_caregiver,hs
2.3-2.5,37,parent_caregiver,hs
2.3-2.5,38,parent_caregiver,hs
2.6-2.8,39,parent_caregiver,hs
2.6-2.8,40,parent_caregiver,hs
2.9-2.11,41,parent_caregiver,hs
2.9-2.11,42,parent_caregiver,hs
2.9-2.11,43,parent_caregiver,hs
3.0-3.2,44,parent_caregiver,hs
3.0-3.2,45,parent_caregiver,hs
3.3-3.5,46,parent_caregiver,hs
3.3-3.5,47,parent_caregiver,hs
3.3-3.5,48,parent_caregiver,hs
3.6-3.8,49,parent_caregiver,hs
3.6-3.8,50,parent_caregiver,hs
3.9-3.11,51,parent_caregiver,hs
3.9-3.11,52,parent_caregiver,hs
4.0-4.2,53,parent_caregiver,hs
4.0-4.2,54,parent_caregiver,hs
4.3-4.5,55,parent_caregiver,hs
4.6-4.8,56,parent_caregiver,hs
4.9-4.11,57,parent_caregiver,hs
5.0-5.2,58,parent_caregiver,hs
5.3-5.5,59,parent_caregiver,hs
5.6-5.8,60,parent_caregiver,hs
5.9-5.11,61,parent_caregiver,hs
>5.11,62,parent_caregiver,hs
>5.11,63,parent_caregiver,hs
>5.11,64,parent_caregiver,hs
>5.11,65,parent_caregiver,hs
>5.11,66,parent_caregiver,hs
0,0,parent_caregiver,ls
0,1,parent_caregiver,ls
0,2,parent_caregiver,ls
0.1,3,parent_caregiver,ls
0.2,4,parent_caregiver,ls
0.2,5,parent_caregiver,ls
0.3,6,parent_caregiver,ls
0.3,7,parent_caregiver,ls
0.4,8,parent_caregiver,ls
0.4,9,parent_caregiver,ls
0.5,10,parent_caregiver,ls
0.5,11,parent_caregiver,ls
0.6,12,parent_caregiver,ls
0.6,13,parent_caregiver,ls
0.6,14,parent_caregiver,ls
0.7,15,parent_caregiver,ls
0.7,16,parent_caregiver,ls
0.8,17,parent_caregiver,ls
0.8,18,parent_caregiver,ls
0.8,19,parent_caregiver,ls
0.9,20,parent_caregiver,ls
0.9,21,parent_caregiver,ls
0.9,22,parent_caregiver,ls
0.1,23,parent_caregiver,ls
0.1,24,parent_caregiver,ls
0.1,25,parent_caregiver,ls
0.11,26,parent_caregiver,ls
0.11,27,parent_caregiver,ls
0.11,28,parent_caregiver,ls
1.0-1.1,29,parent_caregiver,ls
1.0-1.1,30,parent_caregiver,ls
1.0-1.1,31,parent_caregiver,ls
1.2-1.3,32,parent_caregiver,ls
1.2-1.3,33,parent_caregiver,ls
1.2-1.3,34,parent_caregiver,ls
1.4-1.5,35,parent_caregiver,ls
1.4-1.5,36,parent_caregiver,ls
1.4-1.5,37,parent_caregiver,ls
1.6-1.7,38,parent_caregiver,ls
1.6-1.7,39,parent_caregiver,ls
1.6-1.7,40,parent_caregiver,ls
1.8-1.9,41,parent_caregiver,ls
1.8-1.9,42,parent_caregiver,ls
1.8-1.9,43,parent_caregiver,ls
1.10-1.11,44,parent_caregiver,ls
1.10-1.11,45,parent_caregiver,ls
1.10-1.11,46,parent_caregiver,ls
2.0-2.2,47,parent_caregiver,ls
2.0-2.2,48,parent_caregiver,ls
2.0-2.2,49,parent_caregiver,ls
2.3-2.5,50,parent_caregiver,ls
2.3-2.5,51,parent_caregiver,ls
2.3-2.5,52,parent_caregiver,ls
2.6-2.8,53,parent_caregiver,ls
2.6-2.8,54,parent_caregiver,ls
2.9-2.11,55,parent_caregiver,ls
2.9-2.11,56,parent_caregiver,ls
3.0-3.2,57,parent_caregiver,ls
3.0-3.2,58,parent_caregiver,ls
3.3-3.5,59,parent_caregiver,ls
3.3-3.5,60,parent_caregiver,ls
3.6-3.8,61,parent_caregiver,ls
3.6-3.8,62,parent_caregiver,ls
3.9-3.11,63,parent_caregiver,ls
4.0-4.2,64,parent_caregiver,ls
4.3-4.5,65,parent_caregiver,ls
4.6-4.8,66,parent_caregiver,ls
4.9-4.11,67,parent_caregiver,ls
5.0-5.2,68,parent_caregiver,ls
5.6-5.8,69,parent_caregiver,ls
>5.11,70,parent_caregiver,ls
>5.11,71,parent_caregiver,ls
>5.11,72,parent_caregiver,ls
0,0,parent_caregiver,sc
0,1,parent_caregiver,sc
0,2,parent_caregiver,sc
0,3,parent_caregiver,sc
0.1,4,parent_caregiver,sc
0.2,5,parent_caregiver,sc
0.3,6,parent_caregiver,sc
0.4,7,parent_caregiver,sc
0.4,8,parent_caregiver,sc
0.5,9,parent_caregiver,sc
0.5,10,parent_caregiver,sc
0.6,11,parent_caregiver,sc
0.6,12,parent_caregiver,sc
0.7,13,parent_caregiver,sc
0.7,14,parent_caregiver,sc
0.7,15,parent_caregiver,sc
0.8,16,parent_caregiver,sc
0.8,17,parent_caregiver,sc
0.9,18,parent_caregiver,sc
0.9,19,parent_caregiver,sc
0.9,20,parent_caregiver,sc
0.1,21,parent_caregiver,sc
0.1,22,parent_caregiver,sc
0.1,23,parent_caregiver,sc
0.11,24,parent_caregiver,sc
0.11,25,parent_caregiver,sc
1.0-1.1,26,parent_caregiver,sc
1.0-1.1,27,parent_caregiver,sc
1.0-1.1,28,parent_caregiver,sc
1.2-1.3,29,parent_caregiver,sc
1.2-1.3,30,parent_caregiver,sc
1.2-1.3,31,parent_caregiver,sc
1.4-1.5,32,parent_caregiver,sc
1.4-1.5,33,parent_caregiver,sc
1.4-1.5,34,parent_caregiver,sc
1.6-1.7,35,parent_caregiver,sc
1.6-1.7,36,parent_caregiver,sc
1.6-1.7,37,parent_caregiver,sc
1.8-1.9,38,parent_caregiver,sc
1.8-1.9,39,parent_caregiver,sc
1.8-1.9,40,parent_caregiver,sc
1.10-1.11,41,parent_caregiver,sc
1.10-1.11,42,parent_caregiver,sc
1.10-1.11,43,parent_caregiver,sc
2.0-2.2,44,parent_caregiver,sc
2.0-2.2,45,parent_caregiver,sc
2.3-2.5,46,parent_caregiver,sc
2.3-2.5,47,parent_caregiver,sc
2.3-2.5,48,parent_caregiver,sc
2.6-2.8,49,parent_caregiver,sc
2.6-2.8,50,parent_caregiver,sc
2.6-2.8,51,parent_caregiver,sc
2.9-2.11,52,parent_caregiver,sc
2.9-2.11,53,parent_caregiver,sc
3.0-3.2,54,parent_caregiver,sc
3.0-3.2,55,parent_caregiver,sc
3.3-3.5,56,parent_caregiver,sc
3.3-3.5,57,parent_caregiver,sc
3.6-3.8,58,parent_caregiver,sc
3.6-3.8,59,parent_caregiver,sc
3.9-3.11,60,parent_caregiver,sc
3.9-3.11,61,parent_caregiver,sc
4.0-4.2,62,parent_caregiver,sc
4.3-4.5,63,parent_caregiver,sc
4.6-4.8,64,parent_caregiver,sc
4.9-4.11,65,parent_caregiver,sc
5.0-5.2,66,parent_caregiver,sc
5.3-5.5,67,parent_caregiver,sc
5.6-5.8,68,parent_caregiver,sc
>5.11,69,parent_caregiver,sc
>5.11,70,parent_caregiver,sc
>5.11,71,parent_caregiver,sc
>5.11,72,parent_caregiver,sc
0,0,parent_caregiver,sd
0,1,parent_caregiver,sd
0,2,parent_caregiver,sd
0,3,parent_caregiver,sd
0,4,parent_caregiver,sd
0,5,parent_caregiver,sd
0.3,6,parent_caregiver,sd
0.5,7,parent_caregiver,sd
0.6,8,parent_caregiver,sd
0.7,9,parent_caregiver,sd
0.8,10,parent_caregiver,sd
0.8,11,parent_caregiver,sd
0.9,12,parent_caregiver,sd
0.9,13,parent_caregiver,sd
0.9,14,parent_caregiver,sd
0.1,15,parent_caregiver,sd
0.1,16,parent_caregiver,sd
0.11,17,parent_caregiver,sd
0.11,18,parent_caregiver,sd
0.11,19,parent_caregiver,sd
1.0-1.1,20,parent_caregiver,sd
1.0-1.1,21,parent_caregiver,sd
1.0-1.1,22,parent_caregiver,sd
1.2-1.3,23,parent_caregiver,sd
1.2-1.3,24,parent_caregiver,sd
1.2-1.3,25,parent_caregiver,sd
1.4-1.5,26,parent_caregiver,sd
1.4-1.5,27,parent_caregiver,sd
1.4-1.5,28,parent_caregiver,sd
1.6-1.7,29,parent_caregiver,sd
1.6-1.7,30,parent_caregiver,sd
1.6-1.7,31,parent_caregiver,sd
1.8-1.9,32,parent_caregiver,sd
1.8-1.9,33,parent_caregiver,sd
1.8-1.9,34,parent_caregiver,sd
1.10-1.11,35,parent_caregiver,sd
1.10-1.11,36,parent_caregiver,sd
1.10-1.11,37,parent_caregiver,sd
2.0-2.2,38,parent_caregiver,sd
2.0-2.2,39,parent_caregiver,sd
2.0-2.2,40,parent_caregiver,sd
2.3-2.5,41,parent_caregiver,sd
2.3-2.5,42,parent_caregiver,sd
2.3-2.5,43,parent_caregiver,sd
2.6-2.8,44,parent_caregiver,sd
2.6-2.8,45,parent_caregiver,sd
2.6-2.8,46,parent_caregiver,sd
2.9-2.11,47,parent_caregiver,sd
2.9-2.11,48,parent_caregiver,sd
2.9-2.11,49,parent_caregiver,sd
3.0-3.2,50,parent_caregiver,sd
3.0-3.2,51,parent_caregiver,sd
3.3-3.5,52,parent_caregiver,sd
3.3-3.5,53,parent_caregiver,sd
3.6-3.8,54,parent_caregiver,sd
3.6-3.8,55,parent_caregiver,sd
3.9-3.11,56,parent_caregiver,sd
3.9-3.11,57,parent_caregiver,sd
4.0-4.2,58,parent_caregiver,sd
4.0-4.2,59,parent_caregiver,sd
4.3-4.5,60,parent_caregiver,sd
4.6-4.8,61,parent_caregiver,sd
4.9-4.11,62,parent_caregiver,sd
5.0-5.2,63,parent_caregiver,sd
5.3-5.5,64,parent_caregiver,sd
5.9-5.11,65,parent_caregiver,sd
>5.11,66,parent_caregiver,sd
>5.11,67,parent_caregiver,sd
>5.11,68,parent_caregiver,sd
>5.11,69,parent_caregiver,sd
>5.11,70,parent_caregiver,sd
>5.11,71,parent_caregiver,sd
>5.11,72,parent_caregiver,sd
0,0,parent_caregiver,soc
0,1,parent_caregiver,soc
0,2,parent_caregiver,soc
0,3,parent_caregiver,soc
0,4,parent_caregiver,soc
0,5,parent_caregiver,soc
0,6,parent_caregiver,soc
0.1,7,parent_caregiver,soc
0.2,8,parent_caregiver,soc
0.3,9,parent_caregiver,soc
0.4,10,parent_caregiver,soc
0.4,11,parent_caregiver,soc
0.5,12,parent_caregiver,soc
0.5,13,parent_caregiver,soc
0.6,14,parent_caregiver,soc
0.6,15,parent_caregiver,soc
0.7,16,parent_caregiver,soc
0.7,17,parent_caregiver,soc
0.8,18,parent_caregiver,soc
0.8,19,parent_caregiver,soc
0.8,20,parent_caregiver,soc
0.9,21,parent_caregiver,soc
0.9,22,parent_caregiver,soc
0.9,23,parent_caregiver,soc
0.1,24,parent_caregiver,soc
0.1,25,parent_caregiver,soc
0.11,26,parent_caregiver,soc
0.11,27,parent_caregiver,soc
0.11,28,parent_caregiver,soc
1.0-1.1,29,parent_caregiver,soc
1.0-1.1,30,parent_caregiver,soc
1.0-1.1,31,parent_caregiver,soc
1.2-1.3,32,parent_caregiver,soc
1.2-1.3,33,parent_caregiver,soc
1.4-1.5,35,parent_caregiver,soc
1.4-1.5,36,parent_caregiver,soc
1.6-1.7,37,parent_caregiver,soc
1.6-1.7,38,parent_caregiver,soc
1.6-1.7,39,parent_caregiver,soc
1.8-1.9,40,parent_caregiver,soc
1.8-1.9,41,parent_caregiver,soc
1.8-1.9,42,parent_caregiver,soc
1.10-1.11,43,parent_caregiver,soc
1.10-1.11,44,parent_caregiver,soc
1.10-1.11,45,parent_caregiver,soc
2.0-2.2,46,parent_caregiver,soc
2.0-2.2,47,parent_caregiver,soc
2.0-2.2,48,parent_caregiver,soc
2.3-2.5,49,parent_caregiver,soc
2.3-2.5,50,parent_caregiver,soc
2.6-2.8,51,parent_caregiver,soc
2.6-2.8,52,parent_caregiver,soc
2.6-2.8,53,parent_caregiver,soc
2.9-2.11,54,parent_caregiver,soc
2.9-2.11,55,parent_caregiver,soc
3.0-3.2,56,parent_caregiver,soc
3.0-3.2,57,parent_caregiver,soc
3.3-3.5,58,parent_caregiver,soc
3.3-3.5,59,parent_caregiver,soc
3.6-3.8,60,parent_caregiver,soc
3.6-3.8,61,parent_caregiver,soc
3.9-3.11,62,parent_caregiver,soc
3.9-3.11,63,parent_caregiver,soc
4.0-4.2,64,parent_caregiver,soc
4.3-4.5,65,parent_caregiver,soc
4.6-4.8,66,parent_caregiver,soc
4.9-4.11,67,parent_caregiver,soc
5.0-5.2,68,parent_caregiver,soc
5.3-5.5,69,parent_caregiver,soc
5.9-5.11,70,parent_caregiver,soc
>5.11,71,parent_caregiver,soc
>5.11,72,parent_caregiver,soc
0,0,parent_caregiver,mo
0,1,parent_caregiver,mo
0,2,parent_caregiver,mo
0,3,parent_caregiver,mo
0.1,4,parent_caregiver,mo
0.1,5,parent_caregiver,mo
0.1,6,parent_caregiver,mo
0.2,7,parent_caregiver,mo
0.2,8,parent_caregiver,mo
0.2,9,parent_caregiver,mo
0.3,10,parent_caregiver,mo
0.3,11,parent_caregiver,mo
0.3,12,parent_caregiver,mo
0.3,13,parent_caregiver,mo
0.4,14,parent_caregiver,mo
