std_score,per_rank,value,min_age,max_age,for,type
# ,24,29,teacher_caregiver,GAC
94,34,86-87
95,37,88
96,39,89-90
97,42,91
98,45,9293
99,47,94
100,50,95-96
102,55,97
103,58,98
104,61,99
105,63,100
106,66,101
107,68,102
109,73,103
110,75,104
111,77,105
112,79,106
113,81,107
114,82,108
115,84,109
117,87,110
118,88,111
119,90,112
120,>90,112-123
# ,60,71,teacher_caregiver,GAC
43,<0.1,9
44,<0.1,10
45,<0.1,11-12
46,<0.1,13
47,<0.1,14-15
48,<0.1,16
49,<0.1,17-18
50,<0.1,19
51,0.1,20-21
52,0.1,22
53,0.1,23-24
54,0.1,25
55,0.1,26-27
56,0.2,28
57,0.2,29-30
58,0.3,31
59,0.3,32-33
60,0.4,34
61,0.5,35-36
62,1,37
63,1,38-39
64,1,40
65,1,41-42
66,1,43
67,1,44-45
68,2,46
69,2,47-48
70,2,49-50
71,3,51
72,3,52-53
73,4,54
74,4,55-56
75,5,57
76,5,58-59
77,6,60
78,7,61-62
79,8,63
80,9,64-65
81,10,66
82,12,67-68
83,13,69
84,14,70-71
85,16,72
86,18,73-74
87,19,75
88,21,76-77
89,23,78
90,25,79-80
91,27,81
92,30,82-83
93,32,84
94,34,85-86
95,37,87
96,39,88-89
97,42,90-91
98,45,92
99,47,93-94
100,50,95
101,53,96
103,58,97
104,61,98
105,63,99
106,66,100
107,68,101
108,70,102
109,73,103
111,77,104
112,79,105
113,81,106
114,82,107
115,84,108
116,86,109
118,88,110
119,90,111
120,>90,112-119
